,Artiste,Titre,Année,Ventes
124,Jerry Lee Lewis,Great Balls of Fire,1957,5.0
125,Like a Prayer,Like a Prayer,1989,5.0
126,Ricky Martin,María,1995,5.0
127,Michael Zager Band,Let's All Chant,1977,5.0
128,Mitch Miller,March from the River Kwai,1957,5.0
129,The Monkees,Daydream Believer,1967,5.0
130,Art Mooney and His Orchestra,Bluebird of Happiness,1948,5.0
131,Art Mooney and His Orchestra,I'm Looking Over a Four Leaf Clover,1948,5.0
132,Musical Youth,Pass the Dutchie,1982,5.0
133,Donny Osmond,Puppy Love,1972,5.0
134,The Partridge Family,I Think I Love You,1970,5.0
135,Elvis Presley,Surrender,1961,5.0
136,Gerry Rafferty,Baker Street,1978,5.0
137,Cliff Richard,We Don't Talk Anymore,1979,5.0
138,Nini Rosso,Il Silenzio,1965,5.0
139,David Seville,The Chipmunk Song (Christmas Don't Be Late),1958,5.0
140,Staff Sergeant Barry Sadler,Ballad of the Green Berets,1966,5.0
141,Tag Team,Whoomp! (There It Is),1993,5.0
142,Three Dog Night,Joy to the World,1971,5.0
143,Tommy James and the Shondells,Crimson and Clover,1968,5.0
144,The Tornados,Telstar,1962,5.0
145,Zager and Evans,In the Year 2525,1978,5.0
