,artistsrc,titlesrc,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
83,Vernon Dalhart,The Prisoner's Song,0.307,0.316,2,-12.139,1,0.0369,0.991,0.171,0.184,0.339,139.232,audio_features,5A63jDvAp0piOKksW7rog4,spotify:track:5A63jDvAp0piOKksW7rog4,https://api.spotify.com/v1/tracks/5A63jDvAp0piOKksW7rog4,https://api.spotify.com/v1/audio-analysis/5A63jDvAp0piOKksW7rog4,197878,4,
84,Dawn featuring Tony Orlando,Tie a Yellow Ribbon Round the Ole Oak Tree,0.609,0.368,5,-15.259,1,0.0345,0.107,0.738,0.137,0.822,172.965,audio_features,0SYUvX6AWj1CkDLcFAQG3Q,spotify:track:0SYUvX6AWj1CkDLcFAQG3Q,https://api.spotify.com/v1/tracks/0SYUvX6AWj1CkDLcFAQG3Q,https://api.spotify.com/v1/audio-analysis/0SYUvX6AWj1CkDLcFAQG3Q,203781,4,
85,Neil Diamond,Cracklin' Rosie,0.562,0.492,1,-14.669,1,0.0341,0.352,0.0,0.164,0.858,127.811,audio_features,5pkd9ib1RgbkAd1R9bIOCa,spotify:track:5pkd9ib1RgbkAd1R9bIOCa,https://api.spotify.com/v1/tracks/5pkd9ib1RgbkAd1R9bIOCa,https://api.spotify.com/v1/audio-analysis/5pkd9ib1RgbkAd1R9bIOCa,179933,4,
86,Frankie Goes to Hollywood,Relax,0.683,0.875,4,-6.916,0,0.0481,0.204,1.9e-06,0.0631,0.674,115.401,audio_features,3MIVb9pn5cDSdK7yNDsMU1,spotify:track:3MIVb9pn5cDSdK7yNDsMU1,https://api.spotify.com/v1/tracks/3MIVb9pn5cDSdK7yNDsMU1,https://api.spotify.com/v1/audio-analysis/3MIVb9pn5cDSdK7yNDsMU1,236160,4,
87,Harry Simeone Chorale,The Little Drummer Boy,0.434,0.0905,8,-21.061,1,0.0407,0.968,0.0849,0.111,0.152,113.561,audio_features,149QwFCTJdkn3cWQkmDnZY,spotify:track:149QwFCTJdkn3cWQkmDnZY,https://api.spotify.com/v1/tracks/149QwFCTJdkn3cWQkmDnZY,https://api.spotify.com/v1/audio-analysis/149QwFCTJdkn3cWQkmDnZY,200427,4,
88,The Jackson Five,I Want You Back,0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,audio_features,5LxvwujISqiB8vpRYv887S,spotify:track:5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/tracks/5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/audio-analysis/5LxvwujISqiB8vpRYv887S,176333,4,
89,Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,0.509,0.696,5,-12.535,1,0.0501,0.43,0.0,0.351,0.747,91.463,audio_features,2Yply65U0i60PA5XZMYNC2,spotify:track:2Yply65U0i60PA5XZMYNC2,https://api.spotify.com/v1/tracks/2Yply65U0i60PA5XZMYNC2,https://api.spotify.com/v1/audio-analysis/2Yply65U0i60PA5XZMYNC2,161307,4,
90,Lio,Amoureux solitaires,0.83,0.652,9,-7.229,1,0.067,0.126,0.00954,0.072,0.847,118.874,audio_features,0ZJgIjGJdYzgb03LSH09Gx,spotify:track:0ZJgIjGJdYzgb03LSH09Gx,https://api.spotify.com/v1/tracks/0ZJgIjGJdYzgb03LSH09Gx,https://api.spotify.com/v1/audio-analysis/0ZJgIjGJdYzgb03LSH09Gx,221800,4,
91,Madonna,Vogue,0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.998,audio_features,27QvYgBk0CHOVHthWnkuWt,spotify:track:27QvYgBk0CHOVHthWnkuWt,https://api.spotify.com/v1/tracks/27QvYgBk0CHOVHthWnkuWt,https://api.spotify.com/v1/audio-analysis/27QvYgBk0CHOVHthWnkuWt,316813,4,
92,George Michael,Careless Whisper,0.574,0.629,2,-8.815,0,0.0363,0.128,0.0,0.271,0.786,153.119,audio_features,4jDmJ51x1o9NZB5Nxxc7gY,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,https://api.spotify.com/v1/tracks/4jDmJ51x1o9NZB5Nxxc7gY,https://api.spotify.com/v1/audio-analysis/4jDmJ51x1o9NZB5Nxxc7gY,300107,4,
93,Rick Nelson,Travelin' Man,0.741,0.363,2,-12.484,1,0.0335,0.669,0.0,0.117,0.859,123.263,audio_features,2jc4wyf3ys0zKCpxHRjEYx,spotify:track:2jc4wyf3ys0zKCpxHRjEYx,https://api.spotify.com/v1/tracks/2jc4wyf3ys0zKCpxHRjEYx,https://api.spotify.com/v1/audio-analysis/2jc4wyf3ys0zKCpxHRjEYx,142933,4,
94,The New Seekers,I'd Like to Teach the World to Sing (In Perfect Harmony),0.664,0.455,11,-10.236,1,0.0345,0.629,0.0,0.515,0.781,132.348,audio_features,48DJAUMShjooAV4CYMvrvE,spotify:track:48DJAUMShjooAV4CYMvrvE,https://api.spotify.com/v1/tracks/48DJAUMShjooAV4CYMvrvE,https://api.spotify.com/v1/audio-analysis/48DJAUMShjooAV4CYMvrvE,148907,4,
95,Elvis Presley,Don't Be Cruel,0.697,0.55,2,-11.496,1,0.18,0.856,3.44e-05,0.0907,0.844,84.802,audio_features,01u6AEzGbGbQyYVdxajxqk,spotify:track:01u6AEzGbGbQyYVdxajxqk,https://api.spotify.com/v1/tracks/01u6AEzGbGbQyYVdxajxqk,https://api.spotify.com/v1/audio-analysis/01u6AEzGbGbQyYVdxajxqk,122893,4,
96,Rick Dees,Disco Duck,0.876,0.667,6,-8.692,0,0.0429,0.176,0.849,0.0499,0.785,113.976,audio_features,6wu1xdQlkKCZFRi3bOd5Rl,spotify:track:6wu1xdQlkKCZFRi3bOd5Rl,https://api.spotify.com/v1/tracks/6wu1xdQlkKCZFRi3bOd5Rl,https://api.spotify.com/v1/audio-analysis/6wu1xdQlkKCZFRi3bOd5Rl,206031,4,
97,Jeannie C. Riley,Harper Valley P.T.A.,0.795,0.448,4,-13.427,1,0.0444,0.629,0.0,0.0659,0.96,122.318,audio_features,2sZIclzhHlH8tzf7wry9hK,spotify:track:2sZIclzhHlH8tzf7wry9hK,https://api.spotify.com/v1/tracks/2sZIclzhHlH8tzf7wry9hK,https://api.spotify.com/v1/audio-analysis/2sZIclzhHlH8tzf7wry9hK,194400,4,
98,Simon and Garfunkel,Bridge over Troubled Water,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,audio_features,6l8EbYRtQMgKOyc1gcDHF9,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,https://api.spotify.com/v1/tracks/6l8EbYRtQMgKOyc1gcDHF9,https://api.spotify.com/v1/audio-analysis/6l8EbYRtQMgKOyc1gcDHF9,293120,4,
99,My Boy Lollipop,My Boy Lollipop,0.661,0.67,2,-5.734,1,0.0386,0.162,1.73e-06,0.0737,0.935,132.032,audio_features,4Tsx5uLCyJphR0oAzbFS9D,spotify:track:4Tsx5uLCyJphR0oAzbFS9D,https://api.spotify.com/v1/tracks/4Tsx5uLCyJphR0oAzbFS9D,https://api.spotify.com/v1/audio-analysis/4Tsx5uLCyJphR0oAzbFS9D,122160,4,
100,Stars on 45,Stars on 45,0.779,0.653,7,-10.827,1,0.0618,0.345,2.44e-06,0.475,0.968,122.569,audio_features,59BkBWQitTPgS1inzGfyI5,spotify:track:59BkBWQitTPgS1inzGfyI5,https://api.spotify.com/v1/tracks/59BkBWQitTPgS1inzGfyI5,https://api.spotify.com/v1/audio-analysis/59BkBWQitTPgS1inzGfyI5,286581,4,
101,Tony Orlando and Dawn,Knock Three Times,0.777,0.581,1,-10.129,1,0.0517,0.154,0.0,0.11,0.93,123.1,audio_features,6gvfXd7pEUSPuNEMWwOJUH,spotify:track:6gvfXd7pEUSPuNEMWwOJUH,https://api.spotify.com/v1/tracks/6gvfXd7pEUSPuNEMWwOJUH,https://api.spotify.com/v1/audio-analysis/6gvfXd7pEUSPuNEMWwOJUH,180360,4,
102,Bonnie Tyler,It's a Heartache,0.54,0.707,0,-5.541,1,0.0294,0.0291,1.24e-06,0.368,0.494,118.875,audio_features,2pag2vElkdroT8hIO4Gozi,spotify:track:2pag2vElkdroT8hIO4Gozi,https://api.spotify.com/v1/tracks/2pag2vElkdroT8hIO4Gozi,https://api.spotify.com/v1/audio-analysis/2pag2vElkdroT8hIO4Gozi,209760,4,
103,Bonnie Tyler,Total Eclipse of the Heart,0.435,0.658,8,-8.179,1,0.0661,0.195,0.0,0.102,0.184,130.276,audio_features,5prTs2HAw2G4idHZyeFp8o,spotify:track:5prTs2HAw2G4idHZyeFp8o,https://api.spotify.com/v1/tracks/5prTs2HAw2G4idHZyeFp8o,https://api.spotify.com/v1/audio-analysis/5prTs2HAw2G4idHZyeFp8o,269787,4,
104,Tino Rossi,Petit Papa Noël,0.334,0.314,10,-9.437,1,0.0341,0.985,0.000806,0.0598,0.422,105.366,audio_features,5FHMtswRpmTObVb9wnZWga,spotify:track:5FHMtswRpmTObVb9wnZWga,https://api.spotify.com/v1/tracks/5FHMtswRpmTObVb9wnZWga,https://api.spotify.com/v1/audio-analysis/5FHMtswRpmTObVb9wnZWga,195533,4,
105,1910 Fruitgum Company,Simon Says,0.777,0.693,4,-7.65,1,0.0343,0.24,0.0003,0.307,0.985,135.348,audio_features,5IIwfioAOLmPFkD6ESOmvJ,spotify:track:5IIwfioAOLmPFkD6ESOmvJ,https://api.spotify.com/v1/tracks/5IIwfioAOLmPFkD6ESOmvJ,https://api.spotify.com/v1/audio-analysis/5IIwfioAOLmPFkD6ESOmvJ,135493,4,
106,ABBA,Waterloo,0.445,0.949,2,-4.682,1,0.0471,0.395,8.18e-06,0.0902,0.653,147.604,audio_features,3Dy4REq8O09IlgiwuHQ3sk,spotify:track:3Dy4REq8O09IlgiwuHQ3sk,https://api.spotify.com/v1/tracks/3Dy4REq8O09IlgiwuHQ3sk,https://api.spotify.com/v1/audio-analysis/3Dy4REq8O09IlgiwuHQ3sk,168960,4,
107,Gene Austin,My Blue Heaven,0.3,0.265,3,-13.121,1,0.047,0.982,0.809,0.151,0.412,66.88,audio_features,4o2HHjAUxIdqT3cO9nHUgN,spotify:track:4o2HHjAUxIdqT3cO9nHUgN,https://api.spotify.com/v1/tracks/4o2HHjAUxIdqT3cO9nHUgN,https://api.spotify.com/v1/audio-analysis/4o2HHjAUxIdqT3cO9nHUgN,214035,4,
108,Gene Autry,That Silver-Haired Daddy of Mine,0.476,0.168,5,-12.644,1,0.0343,0.973,1.83e-06,0.412,0.545,165.334,audio_features,1afKwEw7l7Ycj9zROHeymm,spotify:track:1afKwEw7l7Ycj9zROHeymm,https://api.spotify.com/v1/tracks/1afKwEw7l7Ycj9zROHeymm,https://api.spotify.com/v1/audio-analysis/1afKwEw7l7Ycj9zROHeymm,166400,4,
109,Charles Aznavour,She,0.348,0.393,1,-9.787,1,0.03,0.223,0.0,0.151,0.357,132.069,audio_features,2OxkfL5jW8bvYTCNDLlRSY,spotify:track:2OxkfL5jW8bvYTCNDLlRSY,https://api.spotify.com/v1/tracks/2OxkfL5jW8bvYTCNDLlRSY,https://api.spotify.com/v1/audio-analysis/2OxkfL5jW8bvYTCNDLlRSY,153067,4,
110,She Loves You,She Loves You,0.377,0.916,4,-3.199,0,0.0481,0.26,0.0,0.074,0.912,75.533,audio_features,6nEkxYIEnrbYH7h1hJ8Xn6,spotify:track:6nEkxYIEnrbYH7h1hJ8Xn6,https://api.spotify.com/v1/tracks/6nEkxYIEnrbYH7h1hJ8Xn6,https://api.spotify.com/v1/audio-analysis/6nEkxYIEnrbYH7h1hJ8Xn6,140920,4,
111,Bee Gees,Massachusetts,0.488,0.581,7,-8.01,1,0.0291,0.00242,0.000216,0.0664,0.445,102.103,audio_features,3o7k5Mcdi0PFAXICTqjxra,spotify:track:3o7k5Mcdi0PFAXICTqjxra,https://api.spotify.com/v1/tracks/3o7k5Mcdi0PFAXICTqjxra,https://api.spotify.com/v1/audio-analysis/3o7k5Mcdi0PFAXICTqjxra,146907,4,
112,Debby Boone,You Light Up My Life,0.333,0.367,2,-10.06,1,0.0291,0.831,1.19e-05,0.262,0.0685,77.986,audio_features,3dFR132gzO8jxD57R2gid3,spotify:track:3dFR132gzO8jxD57R2gid3,https://api.spotify.com/v1/tracks/3dFR132gzO8jxD57R2gid3,https://api.spotify.com/v1/audio-analysis/3dFR132gzO8jxD57R2gid3,216287,3,
113,The Buggles,Video Killed the Radio Star,0.68,0.678,1,-11.548,1,0.0754,0.103,0.00828,0.204,0.251,131.165,audio_features,7o7E1nrHWncYY7PY94gCiX,spotify:track:7o7E1nrHWncYY7PY94gCiX,https://api.spotify.com/v1/tracks/7o7E1nrHWncYY7PY94gCiX,https://api.spotify.com/v1/audio-analysis/7o7E1nrHWncYY7PY94gCiX,252773,4,
114,Culture Club,Karma Chameleon,0.668,0.73,10,-7.182,1,0.0366,0.225,0.0,0.188,0.894,92.049,audio_features,2wSAWEYUHkt92X4SBAPqZE,spotify:track:2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/tracks/2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/audio-analysis/2wSAWEYUHkt92X4SBAPqZE,252773,4,
115,Teach Me Tonight,Teach Me Tonight,0.591,0.231,8,-11.436,1,0.0775,0.805,0.0,0.142,0.401,72.589,audio_features,6YvLdYbHmRzRsw9ZoJxsVC,spotify:track:6YvLdYbHmRzRsw9ZoJxsVC,https://api.spotify.com/v1/tracks/6YvLdYbHmRzRsw9ZoJxsVC,https://api.spotify.com/v1/audio-analysis/6YvLdYbHmRzRsw9ZoJxsVC,167493,4,
116,Enigma,Sadeness (Part I),0.58,0.867,7,-7.912,1,0.0864,0.000686,0.432,0.174,0.614,191.427,audio_features,01ZcGaInwbGQ851SwRKnNE,spotify:track:01ZcGaInwbGQ851SwRKnNE,https://api.spotify.com/v1/tracks/01ZcGaInwbGQ851SwRKnNE,https://api.spotify.com/v1/audio-analysis/01ZcGaInwbGQ851SwRKnNE,305693,4,
117,Fatboy Slim,The Rockafeller Skank,0.666,0.992,7,-6.701,1,0.251,0.0111,0.00437,0.22,0.0802,152.59,audio_features,48JrHJdke53Te8dQ9aWzvV,spotify:track:48JrHJdke53Te8dQ9aWzvV,https://api.spotify.com/v1/tracks/48JrHJdke53Te8dQ9aWzvV,https://api.spotify.com/v1/audio-analysis/48JrHJdke53Te8dQ9aWzvV,413880,4,
118,George Harrison,My Sweet Lord,0.538,0.704,1,-8.904,0,0.0332,0.0794,0.0,0.0867,0.583,120.963,audio_features,0qdQUeKVyevrbKhAo0ibxS,spotify:track:0qdQUeKVyevrbKhAo0ibxS,https://api.spotify.com/v1/tracks/0qdQUeKVyevrbKhAo0ibxS,https://api.spotify.com/v1/audio-analysis/0qdQUeKVyevrbKhAo0ibxS,281227,4,
119,Engelbert Humperdinck,Release Me,0.162,0.301,5,-11.007,1,0.0307,0.848,1.43e-05,0.101,0.298,84.413,audio_features,0Si6MQzSdOyfWTy0LP5ojD,spotify:track:0Si6MQzSdOyfWTy0LP5ojD,https://api.spotify.com/v1/tracks/0Si6MQzSdOyfWTy0LP5ojD,https://api.spotify.com/v1/audio-analysis/0Si6MQzSdOyfWTy0LP5ojD,204413,4,
120,I Santo California,Torneró,0.336,0.469,7,-10.458,1,0.0365,0.835,0.0818,0.195,0.136,118.627,audio_features,5VccJRQCjaYk8sfAM2jKgi,spotify:track:5VccJRQCjaYk8sfAM2jKgi,https://api.spotify.com/v1/tracks/5VccJRQCjaYk8sfAM2jKgi,https://api.spotify.com/v1/audio-analysis/5VccJRQCjaYk8sfAM2jKgi,241395,4,
121,I'll Be There,I'll Be There,0.623,0.851,7,-3.111,1,0.0409,0.0228,0.0,0.12,0.4,100.063,audio_features,083Qf6hn6sFL6xiOHlZUyn,spotify:track:083Qf6hn6sFL6xiOHlZUyn,https://api.spotify.com/v1/tracks/083Qf6hn6sFL6xiOHlZUyn,https://api.spotify.com/v1/audio-analysis/083Qf6hn6sFL6xiOHlZUyn,193924,4,
122,Tom Jones,Delilah,0.529,0.497,9,-10.924,0,0.0273,0.614,2.12e-06,0.549,0.791,95.908,audio_features,2v8B8d17Xxu9uLU5sNiHSL,spotify:track:2v8B8d17Xxu9uLU5sNiHSL,https://api.spotify.com/v1/tracks/2v8B8d17Xxu9uLU5sNiHSL,https://api.spotify.com/v1/audio-analysis/2v8B8d17Xxu9uLU5sNiHSL,204160,1,
123,Kaoma,Lambada,0.756,0.8,5,-5.158,1,0.0329,0.211,0.000723,0.047,0.967,118.921,audio_features,6xepovPqjvrkEw9Y5AMmTm,spotify:track:6xepovPqjvrkEw9Y5AMmTm,https://api.spotify.com/v1/tracks/6xepovPqjvrkEw9Y5AMmTm,https://api.spotify.com/v1/audio-analysis/6xepovPqjvrkEw9Y5AMmTm,207467,4,
124,Jerry Lee Lewis,Great Balls of Fire,0.463,0.747,10,-7.559,1,0.0704,0.478,0.0,0.232,0.861,159.661,audio_features,1h2NZP7rlDgelQ0r1tCOzs,spotify:track:1h2NZP7rlDgelQ0r1tCOzs,https://api.spotify.com/v1/tracks/1h2NZP7rlDgelQ0r1tCOzs,https://api.spotify.com/v1/audio-analysis/1h2NZP7rlDgelQ0r1tCOzs,110653,4,
125,Like a Prayer,Like a Prayer,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,audio_features,1z3ugFmUKoCzGsI6jdY4Ci,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/tracks/1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/audio-analysis/1z3ugFmUKoCzGsI6jdY4Ci,342680,4,
126,Ricky Martin,María,0.723,0.914,7,-5.598,0,0.0663,0.0726,2.12e-05,0.95,0.968,101.181,audio_features,0QQHPRbgLJJ5XNzJV1l9BW,spotify:track:0QQHPRbgLJJ5XNzJV1l9BW,https://api.spotify.com/v1/tracks/0QQHPRbgLJJ5XNzJV1l9BW,https://api.spotify.com/v1/audio-analysis/0QQHPRbgLJJ5XNzJV1l9BW,262573,4,
127,Michael Zager Band,Let's All Chant,0.85,0.769,4,-8.648,0,0.0359,0.0289,0.01,0.0899,0.967,122.007,audio_features,2xGMzDlPnmPHD8HUYOy4Lw,spotify:track:2xGMzDlPnmPHD8HUYOy4Lw,https://api.spotify.com/v1/tracks/2xGMzDlPnmPHD8HUYOy4Lw,https://api.spotify.com/v1/audio-analysis/2xGMzDlPnmPHD8HUYOy4Lw,184453,4,
128,Mitch Miller,March from the River Kwai,0.568,0.5,0,-12.709,1,0.0284,0.756,0.84,0.493,0.805,108.452,audio_features,4XRIZUDdchUQTKKCSpUvV5,spotify:track:4XRIZUDdchUQTKKCSpUvV5,https://api.spotify.com/v1/tracks/4XRIZUDdchUQTKKCSpUvV5,https://api.spotify.com/v1/audio-analysis/4XRIZUDdchUQTKKCSpUvV5,144533,4,
129,The Monkees,Daydream Believer,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,audio_features,7uEcCGtM1FBBGIhPozhJjv,spotify:track:7uEcCGtM1FBBGIhPozhJjv,https://api.spotify.com/v1/tracks/7uEcCGtM1FBBGIhPozhJjv,https://api.spotify.com/v1/audio-analysis/7uEcCGtM1FBBGIhPozhJjv,179613,4,
130,Art Mooney and His Orchestra,Bluebird of Happiness,0.165,0.102,1,-22.395,1,0.0451,0.992,0.165,0.19,0.304,76.373,audio_features,6Bgq2RBgrzWuomYPJBYgIq,spotify:track:6Bgq2RBgrzWuomYPJBYgIq,https://api.spotify.com/v1/tracks/6Bgq2RBgrzWuomYPJBYgIq,https://api.spotify.com/v1/audio-analysis/6Bgq2RBgrzWuomYPJBYgIq,198478,4,
131,Art Mooney and His Orchestra,I'm Looking Over a Four Leaf Clover,0.71,0.355,2,-6.132,1,0.045,0.829,0.0,0.359,0.908,147.129,audio_features,3k3GVP7ygSagU4S6bUKANI,spotify:track:3k3GVP7ygSagU4S6bUKANI,https://api.spotify.com/v1/tracks/3k3GVP7ygSagU4S6bUKANI,https://api.spotify.com/v1/audio-analysis/3k3GVP7ygSagU4S6bUKANI,158011,4,
132,Musical Youth,Pass the Dutchie,0.8,0.418,7,-14.345,1,0.0942,0.447,0.0,0.315,0.966,149.749,audio_features,4s4KlGfd3tBaSflx18R5jX,spotify:track:4s4KlGfd3tBaSflx18R5jX,https://api.spotify.com/v1/tracks/4s4KlGfd3tBaSflx18R5jX,https://api.spotify.com/v1/audio-analysis/4s4KlGfd3tBaSflx18R5jX,205427,4,
133,Donny Osmond,Puppy Love,0.414,0.681,1,-3.992,1,0.036,0.612,7.98e-06,0.248,0.538,102.338,audio_features,7HWH4kGaHR3ZwKNFPT4dSW,spotify:track:7HWH4kGaHR3ZwKNFPT4dSW,https://api.spotify.com/v1/tracks/7HWH4kGaHR3ZwKNFPT4dSW,https://api.spotify.com/v1/audio-analysis/7HWH4kGaHR3ZwKNFPT4dSW,184973,3,
134,The Partridge Family,I Think I Love You,0.432,0.471,3,-12.26,1,0.0473,0.422,0.0,0.141,0.783,203.27,audio_features,2hb6LFp0TwBjkhf37od4G3,spotify:track:2hb6LFp0TwBjkhf37od4G3,https://api.spotify.com/v1/tracks/2hb6LFp0TwBjkhf37od4G3,https://api.spotify.com/v1/audio-analysis/2hb6LFp0TwBjkhf37od4G3,173400,4,
135,Elvis Presley,Surrender,0.354,0.536,3,-12.731,1,0.0404,0.736,7.12e-06,0.2,0.833,108.618,audio_features,366wRPrx2airjcCRkxgoS2,spotify:track:366wRPrx2airjcCRkxgoS2,https://api.spotify.com/v1/tracks/366wRPrx2airjcCRkxgoS2,https://api.spotify.com/v1/audio-analysis/366wRPrx2airjcCRkxgoS2,112360,3,
136,Gerry Rafferty,Baker Street,0.497,0.349,7,-14.0,1,0.0297,0.0929,0.028,0.259,0.421,113.762,audio_features,5gOd6zDC8vhlYjqbQdJVWP,spotify:track:5gOd6zDC8vhlYjqbQdJVWP,https://api.spotify.com/v1/tracks/5gOd6zDC8vhlYjqbQdJVWP,https://api.spotify.com/v1/audio-analysis/5gOd6zDC8vhlYjqbQdJVWP,365627,4,
137,Cliff Richard,We Don't Talk Anymore,0.746,0.703,0,-7.853,1,0.0291,0.0014,0.00414,0.066,0.733,111.569,audio_features,3Ug96zKa29P3vICEEcYajZ,spotify:track:3Ug96zKa29P3vICEEcYajZ,https://api.spotify.com/v1/tracks/3Ug96zKa29P3vICEEcYajZ,https://api.spotify.com/v1/audio-analysis/3Ug96zKa29P3vICEEcYajZ,257160,4,
138,Nini Rosso,Il Silenzio,0.365,0.33,10,-8.684,1,0.0286,0.943,0.869,0.13,0.283,92.641,audio_features,3IaXbJBLu2MgwJMu1KvUvQ,spotify:track:3IaXbJBLu2MgwJMu1KvUvQ,https://api.spotify.com/v1/tracks/3IaXbJBLu2MgwJMu1KvUvQ,https://api.spotify.com/v1/audio-analysis/3IaXbJBLu2MgwJMu1KvUvQ,189333,3,
139,David Seville,The Chipmunk Song (Christmas Don't Be Late),0.613,0.37,3,-11.548,1,0.0344,0.707,2.98e-06,0.23,0.777,152.548,audio_features,02NKMA9cIkq6VuBNu9q9Wf,spotify:track:02NKMA9cIkq6VuBNu9q9Wf,https://api.spotify.com/v1/tracks/02NKMA9cIkq6VuBNu9q9Wf,https://api.spotify.com/v1/audio-analysis/02NKMA9cIkq6VuBNu9q9Wf,141467,3,
140,Tag Team,Whoomp! (There It Is),0.798,0.717,4,-6.272,0,0.0538,0.0011,0.0,0.353,0.52,131.886,audio_features,0SuYcbenEg2MdkZunyqtwN,spotify:track:0SuYcbenEg2MdkZunyqtwN,https://api.spotify.com/v1/tracks/0SuYcbenEg2MdkZunyqtwN,https://api.spotify.com/v1/audio-analysis/0SuYcbenEg2MdkZunyqtwN,233400,4,
141,Three Dog Night,Joy to the World,0.591,0.726,2,-13.545,1,0.0315,0.0384,2.49e-06,0.119,0.968,129.057,audio_features,1VZ04sZSpTet7wVMyZphA8,spotify:track:1VZ04sZSpTet7wVMyZphA8,https://api.spotify.com/v1/tracks/1VZ04sZSpTet7wVMyZphA8,https://api.spotify.com/v1/audio-analysis/1VZ04sZSpTet7wVMyZphA8,214960,4,
142,Tommy James and the Shondells,Crimson and Clover,0.408,0.692,11,-9.478,1,0.0685,0.235,0.0255,0.197,0.684,82.499,audio_features,0I4yYE831a8SW8QIx6bz4x,spotify:track:0I4yYE831a8SW8QIx6bz4x,https://api.spotify.com/v1/tracks/0I4yYE831a8SW8QIx6bz4x,https://api.spotify.com/v1/audio-analysis/0I4yYE831a8SW8QIx6bz4x,209640,4,
143,The Tornados,Telstar,0.196,0.751,9,-7.39,1,0.0405,0.00252,0.667,0.378,0.629,145.719,audio_features,2rtaHm5SkgFzVa5Gr8oTW6,spotify:track:2rtaHm5SkgFzVa5Gr8oTW6,https://api.spotify.com/v1/tracks/2rtaHm5SkgFzVa5Gr8oTW6,https://api.spotify.com/v1/audio-analysis/2rtaHm5SkgFzVa5Gr8oTW6,195093,4,
144,Zager and Evans,In the Year 2525,0.451,0.62,8,-5.609,0,0.0361,0.145,0.0239,0.0677,0.5,123.487,audio_features,5UVsbUV0Kh033cqsZ5sLQi,spotify:track:5UVsbUV0Kh033cqsZ5sLQi,https://api.spotify.com/v1/tracks/5UVsbUV0Kh033cqsZ5sLQi,https://api.spotify.com/v1/audio-analysis/5UVsbUV0Kh033cqsZ5sLQi,199653,4,
