,artistsrc,titlesrc,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
34,Toni Braxton,Un-Break My Heart,0.625,0.426,2,-8.392,0,0.0271,0.413,0.0,0.116,0.112,110.018,audio_features,5Ihd9HrPvOADyVoonH9ZjB,spotify:track:5Ihd9HrPvOADyVoonH9ZjB,https://api.spotify.com/v1/tracks/5Ihd9HrPvOADyVoonH9ZjB,https://api.spotify.com/v1/audio-analysis/5Ihd9HrPvOADyVoonH9ZjB,270333,4,
35,Culture Beat,Mr. Vain,0.703,0.997,9,-7.666,0,0.0399,0.0726,0.0235,0.123,0.391,132.872,audio_features,4ih3dyFZoeTdaeJW9mPbOI,spotify:track:4ih3dyFZoeTdaeJW9mPbOI,https://api.spotify.com/v1/tracks/4ih3dyFZoeTdaeJW9mPbOI,https://api.spotify.com/v1/audio-analysis/4ih3dyFZoeTdaeJW9mPbOI,257467,4,
36,The Knack,My Sharona,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,audio_features,1HOMkjp0nHMaTnfAkslCQj,spotify:track:1HOMkjp0nHMaTnfAkslCQj,https://api.spotify.com/v1/tracks/1HOMkjp0nHMaTnfAkslCQj,https://api.spotify.com/v1/audio-analysis/1HOMkjp0nHMaTnfAkslCQj,295400,4,
37,Lipps Inc.,Funkytown,0.915,0.657,0,-6.846,1,0.0514,0.00112,0.286,0.117,0.36,122.435,audio_features,0N5Du3CNQilIBTxkwDQadv,spotify:track:0N5Du3CNQilIBTxkwDQadv,https://api.spotify.com/v1/tracks/0N5Du3CNQilIBTxkwDQadv,https://api.spotify.com/v1/audio-analysis/0N5Du3CNQilIBTxkwDQadv,238240,4,
38,Los del Río,Macarena,0.923,0.679,8,-14.019,1,0.0888,0.428,0.000131,0.0908,0.965,103.017,audio_features,4Y6cDd4EPHcEbiUKdyvNwM,spotify:track:4Y6cDd4EPHcEbiUKdyvNwM,https://api.spotify.com/v1/tracks/4Y6cDd4EPHcEbiUKdyvNwM,https://api.spotify.com/v1/audio-analysis/4Y6cDd4EPHcEbiUKdyvNwM,251293,4,
39,Middle of the Road,Chirpy Chirpy Cheep Cheep,0.549,0.547,11,-8.681,0,0.0452,0.0916,2.26e-06,0.205,0.972,129.814,audio_features,703RBHUEEi5c4o4YUXAM9Q,spotify:track:703RBHUEEi5c4o4YUXAM9Q,https://api.spotify.com/v1/tracks/703RBHUEEi5c4o4YUXAM9Q,https://api.spotify.com/v1/audio-analysis/703RBHUEEi5c4o4YUXAM9Q,177800,4,
40,The Monkees,I'm a Believer,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,audio_features,3G7tRC24Uh09Hmp1KZ7LQ2,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/tracks/3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/audio-analysis/3G7tRC24Uh09Hmp1KZ7LQ2,167373,4,
41,Patti Page,Tennessee Waltz,0.373,0.124,5,-12.95,1,0.0342,0.969,0.000891,0.123,0.351,86.857,audio_features,0BHroBUvBAp561BYqC9LRK,spotify:track:0BHroBUvBAp561BYqC9LRK,https://api.spotify.com/v1/tracks/0BHroBUvBAp561BYqC9LRK,https://api.spotify.com/v1/audio-analysis/0BHroBUvBAp561BYqC9LRK,185000,3,
42,Panjabi MC,Mundian To Bach Ke,0.727,0.925,8,-5.808,0,0.0479,0.0998,0.301,0.0554,0.964,98.058,audio_features,0WqS4ZSC82YEQl2zH2ywYZ,spotify:track:0WqS4ZSC82YEQl2zH2ywYZ,https://api.spotify.com/v1/tracks/0WqS4ZSC82YEQl2zH2ywYZ,https://api.spotify.com/v1/audio-analysis/0WqS4ZSC82YEQl2zH2ywYZ,235667,4,
43,The Penguins,Earth Angel,0.541,0.199,8,-11.679,1,0.0286,0.975,1.03e-05,0.103,0.519,72.767,audio_features,2NuMeCS2NXS2RZIS9f9U86,spotify:track:2NuMeCS2NXS2RZIS9f9U86,https://api.spotify.com/v1/tracks/2NuMeCS2NXS2RZIS9f9U86,https://api.spotify.com/v1/audio-analysis/2NuMeCS2NXS2RZIS9f9U86,176133,4,
